SimulatedComposition	O p-band center (eV)	Predicted Log k* (cm/s)	Bandgap	Charge transfer gap (eV)	Ehull	Formation energy
"Ba7La1Fe6Co2O24
"	-1.466	-3.1506	0	0	"97.0462161943
"	"-1.45192367589
"
"Ba7La1Fe4Co4O24
"	-1.511	-3.3012	0	0	"111.442293772
"	"-1.38183685514
"
"Ba6La2Fe8O24
"	-1.558	-3.4585	0	0	"60.3566925184
"	"-1.60494488758
"
"Ba6La2Fe7Co1O24
"	-1.658	-3.793	0	0	"73.0199955631
"	"-1.57477810221
"
"Ba6La2Fe6Co2O24
"	-1.695	-3.9168	0	0	"89.7212986079
"	"-1.54057331683
"
"Ba6La2Fe4Co4O24
"	-1.751	-4.1042	0	0	"100.971120483
"	"-1.46949599608
"
"Ba4La4Fe6Co2O24
"	-2.056	-5.1247	0	0	"106.61645203
"	"-1.67805409871
"
"Mg8Fe8O24
"	-1.515	-3.3146	0	0	"636.339324716
"	"-0.898799178706
"
"Ba7Mg1Fe8O24
"	-1.184	-2.2071	0	0	"156.229729822
"	"-1.35233092733
"
"Ba6Mg2Fe8O24
"	-1.242	-2.4012	0	0.185	"236.664681953
"	"-1.27780449896
"
"Ba4Mg4Fe8O24
"	-1.345	-2.7458	0	0.111	"408.488586216
"	"-1.11779764221
"
"Ba2Mg6Fe8O24
"	-1.457	-3.1205	0	0	"515.805330466
"	"-1.01490703546
"
"Nd8Fe8O24
"	-3.074	-8.5307	0.594	0.698	"209.8692985
"	"-1.89293451071
"
"Ba7Nd1Fe8O24
"	-1.239	-2.3911	0	0	"71.9005615423
"	"-1.50577053133
"
"Ba6Nd2Fe8O24
"	-1.367	-2.8194	0	0.258	"73.9283453934
"	"-1.57876170696
"
"Ba4Nd4Fe8O24
"	-1.839	-4.3986	0	0	"122.389663096
"	"-1.68033830821
"
"Ba2Nd6Fe8O24
"	-2.296	-5.9277	0	0.541	"132.814980798
"	"-1.81995090946
"
"Ba7Pr1Fe8O24
"	-1.232	-2.3677	0	0	"68.6792013548
"	"-1.50696525521
"
"Ba6Pr2Fe8O24
"	-1.354	-2.7759	0	0.295	"67.1398750184
"	"-1.58149690471
"
"Sm8Fe8O24
"	-3.246	-9.1062	0.556	0.626	"272.8043925
"	"-1.85726619971
"
"Ba7Sm1Fe8O24
"	-1.248	-2.4213	0	0	"78.6712295423
"	"-1.50240821121
"
"Ba6Sm2Fe8O24
"	-1.39	-2.8964	0	0.221	"88.1149313934
"	"-1.57139181671
"
"Ba4Sm4Fe8O24
"	-1.877	-4.5258	0	0	"157.715585096
"	"-1.65864577771
"
"Ba2Sm6Fe8O24
"	-2.39	-6.2422	0	0.504	"178.235738798
"	"-1.79498023871
"
"Sr8Fe8O24
"	-1.541	-3.4016	0	0.111	"86.4303692157
"	"-1.50329208171
"
"Ba7Sr1Fe8O24
"	-1.193	-2.2372	0	0	"80.7377666536
"	"-1.43292863396
"
"Ba6Sr2Fe8O24
"	-1.239	-2.3911	0	0	"84.202505616
"	"-1.44047816221
"
"Ba4Sr4Fe8O24
"	-1.348	-2.7558	0	0	"92.5437335409
"	"-1.45416546871
"
"Ba2Sr6Fe8O24
"	-1.445	-3.0804	0	0	"89.5029614657
"	"-1.47923477521
"
"Ba8Al8O24
"	-1.503	-3.2744	0	5.445	"227.491284799
"	"-2.11831108571
"
"Ba8Al1Fe7O24
"	-1.219	-2.3242	0	0.185	"113.135302229
"	"-1.49584366571
"
"Ba8Al2Fe6O24
"	-1.234	-2.3744	0	0	"136.316076767
"	"-1.57898972571
"
"Ba8Al4Fe4O24
"	-1.267	-2.4848	0	1.903	"175.379625843
"	"-1.75257984571
"
"Ba8Al6Fe2O24
"	-1.37	-2.8294	0	1.896	"201.81756512
"	"-1.93692946571
"
"Ba8Fe2Nb1Co5O24
"	-1.413	-2.9733	0	0	"122.31135567
"	"-1.42200361083
"
"Ba8Cu8O24
"	-1.158	-2.1201	0	0	"274.349273966
"	"-0.809151965706
"
"Ba8Fe7Cu1O24
"	-1.142	-2.0666	0	0	"103.801110549
"	"-1.34732177571
"
"Ba8Fe6Cu2O24
"	-1.084	-1.8725	0	0	"134.180693408
"	"-1.26541294571
"
"Ba8Fe4Cu4O24
"	-1.12	-1.993	0	0	"198.061859124
"	"-1.09847328571
"
"Ba8Fe2Cu6O24
"	-1.176	-2.1804	0	0.658	"237.521274841
"	"-0.955955375706
"
"Ba8Ga8O24
"	-1.181	-2.1971	0	2.015	"278.307781849
"	"-1.51328954071
"
"Ba8Ga1Fe7O24
"	-1.091	-1.896	0	0	"102.036436282
"	"-1.43709934758
"
"Ba8Ga2Fe6O24
"	-1.079	-1.8558	0	0.478	"128.364344873
"	"-1.44725508946
"
"Ba8Ga4Fe4O24
"	-1.128	-2.0198	0	1.392	"182.740912055
"	"-1.46584582321
"
