Chemical_formula	found_on_web
Sr(Zr0.55Re0.45)O3	0
Pr(Fe0.2Ir0.8)O3	0
(Pr0.3Gd0.7)CrO3	0
Eu(Cr0.45Ru0.55)O3	0
(Ba0.8Sm0.2)CeO3	0
Sr(Sc0.5Pa0.5)O3	0
Eu(Co0.6Mo0.4)O3	0
(Ba0.8Nd0.2)CeO3	0
Eu(Cr0.6Co0.4)O3	0
Sm(Mn0.55Ag0.45)O3	0
Eu(Mn0.45Ni0.55)O3	0
Eu(Cr0.95Ru0.05)O3	0
Ba(Ce0.8Th0.2)O3	0
Eu(Mn0.95Ni0.05)O3	0
Eu(Ti0.3Fe0.7)O3	0
Eu(Cr0.1Ir0.9)O3	0
Ba(Ce0.85U0.15)O3	0
Eu(Cr0.65Co0.35)O3	0
Sr(Ti0.45W0.55)O3	0
Sr(Hf0.65Ti0.35)O3	0
Sr(Hf0.95Mn0.05)O3	0
Sr(Hf0.55Ti0.45)O3	0
Eu(Mn0.75Mo0.25)O3	0
Eu(Mn0.3Ir0.7)O3	0
Eu(Ti0.35Fe0.65)O3	0
Eu(Fe0.05Ir0.95)O3	0
(Nd0.3Gd0.7)CrO3	0
Sr(Ti0.3Re0.7)O3	0
Eu(Fe0.85W0.15)O3	0
Ba(Sc0.5Pa0.5)O3	0
Eu(Cr0.5Ru0.5)O3	0
Eu(Cr0.55Ru0.45)O3	0
Eu(Ti0.4Fe0.6)O3	0
(La0.05Eu0.95)CrO3	0
(Sm0.3Eu0.7)CrO3	0
Eu(Th0.25Fe0.75)O3	0
Ba(La0.5Pa0.5)O3	0
Sr(Ti0.5W0.5)O3	0
Eu(Cr0.9Ru0.1)O3	0
(Nd0.05Eu0.95)CrO3	0
Sr(Hf0.6Ti0.4)O3	0
(Ba0.65Sr0.35)ZrO3	0
Sr(Ti0.6Tc0.4)O3	0
Sr(Ti0.4W0.6)O3	0
Sr(Ti0.55Tc0.45)O3	0
Sr(Ti0.65Tc0.35)O3	0
Sr(Hf0.7Ti0.3)O3	0
(Ba0.75Sr0.25)ZrO3	0
(Ce0.05Eu0.95)CrO3	0
(Ba0.7Sr0.3)ZrO3	0
Sr(Ti0.55W0.45)O3	0
Sr(Hf0.5Ti0.5)O3	0
Sr(Ti0.5Tc0.5)O3	0
Sr(Hf0.05Zr0.95)O3	0
Eu(Cr0.85Ru0.15)O3	0
Eu(Cr0.8Ru0.2)O3	0
Ba(Th0.75Ti0.25)O3	0
Sr(Hf0.45Ti0.55)O3	0
Sr(Ti0.35Re0.65)O3	0
Sr(Ti0.7Tc0.3)O3	0
Ba(Ce0.65Pa0.35)O3	0
Sr(Li0.35Tc0.65)O3	0
Sr(Li0.3Tc0.7)O3	0
Eu(Ti0.45Fe0.55)O3	0
Sr(Ti0.45Tc0.55)O3	0
Sr(Li0.25Tc0.75)O3	0
Eu(Na0.45Cr0.55)O3	0
(Ba0.7La0.3)CeO3	0
Sr(Hf0.2Zr0.8)O3	0
Sr(Hf0.15Zr0.85)O3	0
Sr(Ti0.75Tc0.25)O3	0
(Ba0.6Sr0.4)ZrO3	0
(Sm0.05Eu0.95)CrO3	0
Eu(Fe0.1Ir0.9)O3	0
(Nd0.3Eu0.7)AlO3	0
(Nd0.05Eu0.95)AlO3	0
(Ba0.8Gd0.2)CeO3	0
Sr(Hf0.1Zr0.9)O3	0
(Ba0.8Sr0.2)ZrO3	0
Eu(Fe0.15Ir0.85)O3	0
Sr(Hf0.9Mn0.1)O3	0
Sr(Th0.35Zr0.65)O3	0
Sr(Ti0.4Re0.6)O3	0
(Nd0.3Sm0.7)AlO3	0
(Nd0.05Sm0.95)AlO3	0
Sr(Ti0.8Tc0.2)O3	0
Sr(Ti0.85Tc0.15)O3	0
Sr(Li0.4U0.6)O3	0
Sr(Hf0.35Ti0.65)O3	0
Ba(Ce0.55Pa0.45)O3	0
(Ba0.75Eu0.25)CeO3	0
Ba(Ce0.75Th0.25)O3	0
Eu(Cr0.85Ni0.15)O3	0
Eu(Co0.55Mo0.45)O3	0
Eu(Mn0.75Ni0.25)O3	0
Eu(Ti0.5Fe0.5)O3	0
(Sm0.3Eu0.7)CoO3	0
Sr(Ti0.45Re0.55)O3	0
(Sm0.05Eu0.95)CoO3	0
Eu(Th0.15Mn0.85)O3	0
(Ba0.75Sm0.25)CeO3	0
Sr(Li0.45Tc0.55)O3	0
Eu(Fe0.7Mo0.3)O3	0
La(Cr0.2Ru0.8)O3	0
Ba(Th0.7Ti0.3)O3	0
Sr(Mn0.05Tc0.95)O3	0
(Ce0.3Eu0.7)AlO3	0
Eu(Cr0.75Co0.25)O3	0
Eu(Zn0.15Cr0.85)O3	0
Eu(Co0.5Mo0.5)O3	0
Eu(Fe0.75Mo0.25)O3	0
Eu(Mn0.95Zn0.05)O3	0
Ba(Th0.85Ti0.15)O3	0
Eu(Cr0.25Ir0.75)O3	0
Ba(Ce0.7Th0.3)O3	0
Sr(Ti0.6Re0.4)O3	0
Eu(Mn0.75W0.25)O3	0
(Ce0.05Sm0.95)AlO3	0
Sr(Ti0.65Re0.35)O3	0
(Ce0.3Sm0.7)AlO3	0
Sr(Ti0.65W0.35)O3	0
(Sr0.4Yb0.6)MnO3	0
Eu(Mn0.55Ag0.45)O3	0
Sr(Ti0.55Re0.45)O3	0
Sr(Ti0.5Re0.5)O3	0
Sr(Li0.4Tc0.6)O3	0
Eu(Cr0.15Ir0.85)O3	0
Sr(Ti0.7Re0.3)O3	0
Sr(Ti0.7W0.3)O3	0
Ba(Ce0.65Th0.35)O3	0
Sr(Ti0.9Tc0.1)O3	0
Sr(Hf0.4Ti0.6)O3	0
Eu(Fe0.95Ru0.05)O3	0
(La0.05Nd0.95)AlO3	0
Eu(Fe0.45Ru0.55)O3	0
(La0.3Eu0.7)AlO3	0
Eu(Mn0.35Ir0.65)O3	0
Eu(Th0.05Mn0.95)O3	0
(Ba0.75La0.25)CeO3	0
Sr(Ti0.75Re0.25)O3	0
Sr(Ti0.75W0.25)O3	0
Ba(Th0.65Ti0.35)O3	0
Sr(Th0.3Zr0.7)O3	0
Eu(Fe0.2Ir0.8)O3	0
Eu(Cr0.45Ir0.55)O3	0
Sr(Ti0.95Tc0.05)O3	0
(La0.05Sm0.95)AlO3	0
(Sr0.35Yb0.65)MnO3	0
(La0.3Sm0.7)AlO3	0
Sr(Sc0.5Ta0.5)O3	0
Sr(Mn0.15Tc0.85)O3	0
Eu(Fe0.85Mo0.15)O3	0
(Ce0.05Eu0.95)AlO3	0
Eu(Fe0.9Ru0.1)O3	0
Eu(Th0.2Fe0.8)O3	0
Eu(Ta0.05Fe0.95)O3	0
Sr(Ti0.85W0.15)O3	0
Eu(Cr0.35Ir0.65)O3	0
(Ba0.75Nd0.25)CeO3	0
Eu(Ta0.3Fe0.7)O3	0
Sr(Ti0.8W0.2)O3	0
Eu(Cr0.95Ir0.05)O3	0
Sr(Ti0.9W0.1)O3	0
